Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
EF,Solid waste disposal on land,Waste,22.05288897,Gg,2012,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2013,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2000,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2001,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2002,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2003,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2004,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2005,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,3.62E-05,Gg,2006,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,3.85E-05,Gg,2007,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,4.09E-05,Gg,2008,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,4.32E-05,Gg,2009,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,4.55E-05,Gg,2010,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,4.79E-05,Gg,2011,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
